"Freq [GHz]","dB(S(port1,port1)) [] - rot_carga='60deg'","dB(S(port1,port1)) [] - rot_carga='55deg'","dB(S(port1,port1)) [] - rot_carga='50deg'","dB(S(port1,port1)) [] - rot_carga='45deg'","dB(S(port1,port1)) [] - rot_carga='40deg'","dB(S(port1,port1)) [] - rot_carga='35deg'","dB(S(port1,port1)) [] - rot_carga='30deg'","dB(S(port1,port1)) [] - rot_carga='25deg'","dB(S(port1,port1)) [] - rot_carga='20deg'","dB(S(port1,port1)) [] - rot_carga='15deg'","dB(S(port1,port1)) [] - rot_carga='10deg'"
101,-5.97713116002727,-6.82895008795914,-7.99668727795993,-9.62506679733807,-12.0140164150799,-15.402325106545,-18.348168135492,-18.9892965098117,-21.7642799626601,-35.399003627919,-39.4001601669983
101.5,-6.0134897628586,-6.88003483516823,-8.0684928487281,-9.72637407271465,-12.1485836455953,-15.5264656723171,-18.306309385224,-18.8865660243717,-21.9052949528431,-34.5393518328237,-39.0368714994161
102,-6.05009205557664,-6.93140136377549,-8.14100030252124,-9.82853843001619,-12.2826999762215,-15.6421916811132,-18.2568845167713,-18.7918974545793,-22.0597041778059,-33.7769554715523,-38.6466027896713
102.5,-6.0869583651046,-6.98307616563827,-8.21426036250872,-9.93156078936048,-12.4161922668878,-15.7490568900311,-18.2012731840262,-18.7052620518612,-22.227396583638,-33.1082412113067,-38.2325784834607
103,-6.1241104127075,-7.03509517817974,-8.2883258494881,-10.0354374709089,-12.5488731262785,-15.8466937598315,-18.1406092899183,-18.6265977582354,-22.4082857818788,-32.5241826456866,-37.7994041033852
103.5,-6.16157167113599,-7.08750476359981,-8.3632500548212,-10.1401582328648,-12.6805383258532,-15.934824413741,-18.0757553749371,-18.5558210178044,-22.6022958322485,-32.0139844691322,-37.3538164097019
104,-6.19936774261731,-7.14036244552317,-8.43908506310344,-10.2457043671491,-12.8109642870904,-16.0132685625147,-18.0072975913461,-18.4928371918469,-22.8093444242841,-31.5667881583728,-36.9055881516803
104.5,-6.23752673772148,-7.19373734066647,-8.51588012986604,-10.3520469765663,-12.939905821053,-16.0819477446688,-17.9355596746036,-18.4375497461302,-23.0293239253356,-31.1724585682936,-36.4684892763643
105,-6.27607963063584,-7.24771022195302,-8.59368022346407,-10.4591455540343,-13.0670943128927,-16.1408854820483,-17.860633555223,-18.3898682454191,-23.2620808044826,-30.8219476202306,-36.0610329818163
105.5,-6.31506056209984,-7.30237314809428,-8.6725248384141,-10.5669469745928,-13.1922365563318,-16.190203252178,-17.7824238937399,-18.3497150725044,-23.507393863905,-30.5074667402891,-35.7064805460306
106,-6.35450705732521,-7.35782859326704,-8.7524471796812,-10.6753849951761,-13.315014455925,-16.2301124961044,-17.7007037492999,-18.3170306885959,-23.7649514857475,-30.222578724356,-35.4313612174608
106.5,-6.39446012285057,-7.41418800993768,-8.83347380395009,-10.7843803366921,-13.4350858289378,-16.2609031776888,-17.6151786686524,-18.2917771694228,-24.034327723432,-29.9622630925767,-35.2618980511395
107,-6.4349641837454,-7.47156975950886,-8.91562478519158,-10.8938413991691,-13.5520865537011,-16.2829296559122,-17.5255565709942,-18.2739396886451,-24.3149565454774,-29.7229796537156,-35.2185988532383
107.5,-6.47606682129886,-7.53009635130023,-8.99891444849172,-11.0036656350243,-13.6656343249418,-16.2965948032764,-17.4316207915872,-18.263525581351,-24.606102923965,-29.5027358436582,-35.3107485747378
108,-6.5178182718647,-7.58989094298341,-9.08335268890289,-11.1137415790768,-13.7753342837027,-16.3023333903363,-17.3333034563043,-18.260560613188,-24.9068288384261,-29.301146576721,-35.5334684026599
108.5,-6.56027065059068,-7.65107307788894,-9.16894686177934,-11.2239515075572,-13.880786781466,-16.3005957599161,-17.2307559603497,-18.2650821168554,-25.2159517839872,-29.1194578101525,-35.8690381496681
109,-6.60347687015804,-7.71375366949845,-9.25570419841474,-11.3341746723252,-13.9815975029489,-16.2918327449207,-17.1244127435854,-18.2771287527415,-25.5319932476271,-28.9604874813871,-36.2917196193698
109.5,-6.64748923524357,-7.77802929327096,-9.34363466647868,-11.4442910304715,-14.077390094879,-16.2764826562051,-17.015043881546,-18.2967268214816,-25.8531151614769,-28.8284249382153,-36.7735490962847
110,-6.69235770893986,-7.84397591173813,-9.43275415940446,-11.5541853627116,-14.1678213130686,-16.2549609980544,-16.9037914021187,-18.3238733176485,-26.1770439877622,-28.7284320995839,-37.2888207781895
110.5,-6.73812786826892,-7.91164223929375,-9.52308786325666,-11.6637516455503,-14.2525984938089,-16.2276533725389,-16.7921839149711,-18.3585162711524,-26.5009853816632,-28.6660182816226,-37.8164268022061
111,-6.78483859209314,-7.98104304384406,-9.61467361473147,-11.7728975114503,-14.3314988717163,-16.1949118207058,-16.6821243762457,-18.4005333645841,-26.8215378969649,-28.6462224726732,-38.3404083038479
111.5,-6.83251955524289,-8.05215277507462,-9.70756503138225,-11.8815485983501,-14.404389911769,-16.1570546252706,-16.5758468895938,-18.4497103035901,-27.1346223132653,-28.6727213294638,-38.8494730510926
112,-6.88118863556956,-8.12489999095917,-9.80183416728523,-11.9896525564633,-14.4712494250003,-16.1143693718438,-16.4758405943589,-18.5057208856105,-27.4354534963787,-28.7470537236187,-39.3361133280934
112.5,-6.93084937276554,-8.19916310926711,-9.89757342756304,-12.097182449956,-14.5321838458327,-16.0671188410045,-16.3847419804902,-18.568111063006,-27.7185922651085,-28.8681661330832,-39.7956945012475
113,-6.98148864495287,-8.27476802166257,-9.99489646796639,-12.2041392697326,-14.5874427387538,-16.01554909315,-16.3052011848496,-18.6362894161441,-27.9781209432753,-29.0324102142945,-40.225674211082
113.5,-7.0330747463071,-8.35148805864804,-10.0939378165069,-12.3105532691525,-14.6374274634097,-15.9598989291376,-16.2397323813804,-18.7095262350028,-28.2079806807852,-29.2339869794234,-40.6249917321946
114,-7.08555605139773,-8.42904667403233,-10.1948509887472,-12.4164838562001,-14.682692049862,-15.9004097841613,-16.1905623355391,-18.7869627911447,-28.4024829034591,-29.4656972216425,-40.9936133350442
114.5,-7.1388604354603,-8.50712302781259,-10.2978049319885,-12.5220178320242,-14.7239347836348,-15.8373350632295,-16.1594934293105,-18.8676313790058,-28.5569577742762,-29.7197898473338,-41.3322026332678
